Date,Holiday,WeekDay,Month,Day,Year
2004-07-04,4th of July,Sunday,7,4,2004
2005-07-04,4th of July,Monday,7,4,2005
2006-07-04,4th of July,Tuesday,7,4,2006
2007-07-04,4th of July,Wednesday,7,4,2007
2008-07-04,4th of July,Friday,7,4,2008
2009-07-04,4th of July,Saturday,7,4,2009
2010-07-04,4th of July,Sunday,7,4,2010
2011-07-04,4th of July,Monday,7,4,2011
2012-07-04,4th of July,Wednesday,7,4,2012
2013-07-04,4th of July,Thursday,7,4,2013
2014-07-04,4th of July,Friday,7,4,2014
2015-07-04,4th of July,Saturday,7,4,2015
2016-07-04,4th of July,Monday,7,4,2016
2017-07-04,4th of July,Tuesday,7,4,2017
2018-07-04,4th of July,Wednesday,7,4,2018
2019-07-04,4th of July,Thursday,7,4,2019
2020-07-04,4th of July,Saturday,7,4,2020
2021-07-04,4th of July,Sunday,7,4,2021
2004-12-25,Christmas Day,Saturday,12,25,2004
2005-12-25,Christmas Day,Sunday,12,25,2005
2006-12-25,Christmas Day,Monday,12,25,2006
2007-12-25,Christmas Day,Tuesday,12,25,2007
2008-12-25,Christmas Day,Thursday,12,25,2008
2009-12-25,Christmas Day,Friday,12,25,2009
2010-12-25,Christmas Day,Saturday,12,25,2010
2011-12-25,Christmas Day,Sunday,12,25,2011
2012-12-25,Christmas Day,Tuesday,12,25,2012
2013-12-25,Christmas Day,Wednesday,12,25,2013
2014-12-25,Christmas Day,Thursday,12,25,2014
2015-12-25,Christmas Day,Friday,12,25,2015
2016-12-25,Christmas Day,Sunday,12,25,2016
2017-12-25,Christmas Day,Monday,12,25,2017
2018-12-25,Christmas Day,Tuesday,12,25,2018
2019-12-25,Christmas Day,Wednesday,12,25,2019
2020-12-25,Christmas Day,Friday,12,25,2020
2021-12-25,Christmas Day,Saturday,12,25,2021
2004-12-24,Christmas Eve,Friday,12,24,2004
2005-12-24,Christmas Eve,Saturday,12,24,2005
2006-12-24,Christmas Eve,Sunday,12,24,2006
2007-12-24,Christmas Eve,Monday,12,24,2007
2008-12-24,Christmas Eve,Wednesday,12,24,2008
2009-12-24,Christmas Eve,Thursday,12,24,2009
2010-12-24,Christmas Eve,Friday,12,24,2010
2011-12-24,Christmas Eve,Saturday,12,24,2011
2012-12-24,Christmas Eve,Monday,12,24,2012
2013-12-24,Christmas Eve,Tuesday,12,24,2013
2014-12-24,Christmas Eve,Wednesday,12,24,2014
2015-12-24,Christmas Eve,Thursday,12,24,2015
2016-12-24,Christmas Eve,Saturday,12,24,2016
2017-12-24,Christmas Eve,Sunday,12,24,2017
2018-12-24,Christmas Eve,Monday,12,24,2018
